Name,contact_number,Contact_email,creation_date,first_call_attempt,lead_status,lead_stage,lead_tag,assigned_to,last_call_date,last_call_time,references,campaign_name,source_type,source_name,Total Leads,Sales,Conversion Rate (%),Cost per Lead,Total Cost
Divya Nair,6202512747,divya.nair43@gmail.com,27-01-2026 18:10,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,21,19,90.47619048,3,63
Divya Yadav,6673189212,divya.yadav176@example.com,27-01-2026 17:17,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,19,10,52.63157895,12,228
Karthik Sharma,8408993192,karthik.sharma433@example.com,27-01-2026 17:01,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,21,0,0,3,63
Manoj Bose,9415587064,manoj.bose501@yahoo.com,27-01-2026 16:54,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,17,3,17.64705882,14,238
Pooja Yadav,9455602193,pooja.yadav668@example.com,27-01-2026 16:45,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,45,38,84.44444444,5,225
Nikhil Sharma,6377072830,nikhil.sharma216@yahoo.com,27-01-2026 16:40,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,42,35,83.33333333,14,588
Neha Kulkarni,7947395609,neha.kulkarni42@gmail.com,27-01-2026 15:38,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,42,7,16.66666667,6,252
Aditya Malhotra,8635841447,aditya.malhotra306@example.com,27-01-2026 15:24,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,11,0,0,4,44
Rohit Menon,6744582497,rohit.menon757@yahoo.com,27-01-2026 15:18,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,20,20,100,3,60
Kavya Reddy,7079713722,kavya.reddy990@example.com,27-01-2026 15:05,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,17,4,23.52941176,8,136
Riya Singh,7273381781,riya.singh527@example.com,27-01-2026 14:52,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,21,1,4.761904762,13,273
Rohit Yadav,9808676204,rohit.yadav518@yahoo.com,27-01-2026 14:47,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,7,7,100,11,77
Nikhil Iyer,7119564896,nikhil.iyer865@yahoo.com,27-01-2026 14:42,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,40,28,70,15,600
Nikhil Pillai,8768021998,nikhil.pillai405@gmail.com,27-01-2026 14:39,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,40,40,100,15,600
Manoj Reddy,6563932507,manoj.reddy768@example.com,27-01-2026 11:57,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,18,3,16.66666667,6,108
Aisha Nair,6356827303,aisha.nair173@example.com,27-01-2026 11:34,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,50,12,24,14,700
Aditya Kumar,9000173179,aditya.kumar563@hotmail.com,27-01-2026 11:22,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,41,0,0,14,574
Rahul Yadav,9516634304,rahul.yadav165@gmail.com,27-01-2026 11:17,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,17,7,41.17647059,6,102
Rohit Bose,6620460197,rohit.bose277@gmail.com,27-01-2026 11:11,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,FACEBOOK_ADS,FACEBOOK_ADS,44,28,63.63636364,15,660
Nikhil Gupta,6195813322,nikhil.gupta264@example.com,27-01-2026 11:08,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,19,7,36.84210526,15,285
Neha Kumar,6117656281,neha.kumar301@outlook.com,24-01-2026 07:05,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,32,19,59.375,7,224
Arjun Chopra,6245965209,arjun.chopra704@hotmail.com,24-01-2026 04:55,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,26,10,38.46153846,12,312
Rahul Pillai,6012099848,rahul.pillai278@gmail.com,24-01-2026 01:14,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,50,48,96,11,550
Meera Patel,9525723030,meera.patel982@yahoo.com,24-01-2026 00:53,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,28,22,78.57142857,14,392
Rohit Yadav,9226942834,rohit.yadav165@example.com,23-01-2026 18:27,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,11,6,54.54545455,9,99
Riya Malhotra,7176080298,riya.malhotra373@yahoo.com,23-01-2026 17:51,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,31,29,93.5483871,6,186
Sanjay Yadav,7699170883,sanjay.yadav249@gmail.com,23-01-2026 17:50,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,43,28,65.11627907,4,172
Anjali Gupta,7676652551,anjali.gupta746@hotmail.com,23-01-2026 17:32,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,23,19,82.60869565,10,230
Sanjay Chopra,7251123903,sanjay.chopra170@example.com,23-01-2026 16:27,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,40,8,20,4,160
Divya Chopra,8509075073,divya.chopra149@example.com,23-01-2026 16:12,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,36,21,58.33333333,10,360
Karthik Joshi,7584056562,karthik.joshi758@hotmail.com,23-01-2026 15:54,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,50,20,40,8,400
Sanjay Yadav,9374670829,sanjay.yadav914@hotmail.com,23-01-2026 15:50,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,28,23,82.14285714,14,392
Anjali Shetty,8653393651,anjali.shetty146@outlook.com,23-01-2026 14:58,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,FACEBOOK_ADS,FACEBOOK_ADS,12,8,66.66666667,15,180
Karthik Das,8286159030,karthik.das858@hotmail.com,23-01-2026 14:52,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,5,1,20,11,55
Rahul Pillai,7890914880,rahul.pillai159@outlook.com,23-01-2026 14:29,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,39,11,28.20512821,9,351
Riya Kulkarni,6832925432,riya.kulkarni689@gmail.com,23-01-2026 14:23,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,20,15,75,12,240
Varun Kulkarni,7817364902,varun.kulkarni292@outlook.com,23-01-2026 14:11,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,47,28,59.57446809,10,470
Riya Kulkarni,6007765315,riya.kulkarni630@hotmail.com,23-01-2026 13:48,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,22,2,9.090909091,6,132
Meera Shetty,9092850704,meera.shetty675@example.com,23-01-2026 12:33,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,42,28,66.66666667,8,336
Arjun Bose,7977665277,arjun.bose424@gmail.com,23-01-2026 11:56,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,37,36,97.2972973,10,370
Meera Kulkarni,7692552430,meera.kulkarni294@gmail.com,23-01-2026 11:28,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,8,0,0,6,48
Pooja Reddy,8421162733,pooja.reddy613@yahoo.com,23-01-2026 11:25,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,28,1,3.571428571,8,224
Rohit Shetty,8836787899,rohit.shetty86@yahoo.com,23-01-2026 10:26,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,6,1,16.66666667,9,54
Varun Bose,6080773980,varun.bose409@hotmail.com,22-01-2026 20:57,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,26,2,7.692307692,11,286
Meera Sharma,8158277820,meera.sharma462@example.com,22-01-2026 20:46,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,14,4,28.57142857,3,42
Sneha Menon,6738197408,sneha.menon576@outlook.com,22-01-2026 20:41,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,49,31,63.26530612,10,490
Manoj Iyer,6817649355,manoj.iyer856@hotmail.com,22-01-2026 18:43,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,33,7,21.21212121,6,198
Neha Menon,9635686796,neha.menon549@gmail.com,22-01-2026 13:25,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,35,31,88.57142857,13,455
Sneha Joshi,6605848257,sneha.joshi952@yahoo.com,22-01-2026 12:40,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,11,6,54.54545455,11,121
Sanjay Kumar,9812661822,sanjay.kumar35@yahoo.com,22-01-2026 11:36,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,38,13,34.21052632,6,228
Manoj Sharma,9377782598,manoj.sharma551@outlook.com,22-01-2026 11:20,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,11,2,18.18181818,3,33
Arjun Yadav,8925262494,arjun.yadav75@outlook.com,22-01-2026 11:08,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,15,7,46.66666667,9,135
Karthik Malhotra,8524077846,karthik.malhotra604@hotmail.com,22-01-2026 10:57,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,39,15,38.46153846,9,351
Neha Iyer,6758625251,neha.iyer994@gmail.com,22-01-2026 10:47,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,22,7,31.81818182,8,176
Kavya Bose,7025741125,kavya.bose166@yahoo.com,22-01-2026 10:07,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,13,4,30.76923077,7,91
Nikhil Kapoor,6718475462,nikhil.kapoor141@example.com,22-01-2026 10:03,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,41,26,63.41463415,5,205
Vikram Shetty,6927050581,vikram.shetty337@example.com,22-01-2026 09:36,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,18,11,61.11111111,7,126
Sneha Pillai,8462179518,sneha.pillai994@yahoo.com,22-01-2026 09:14,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,49,48,97.95918367,13,637
Sneha Singh,7997439133,sneha.singh758@example.com,22-01-2026 08:02,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,50,12,24,12,600
Pooja Yadav,6908819400,pooja.yadav610@yahoo.com,22-01-2026 07:35,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,37,11,29.72972973,6,222
Rahul Kulkarni,8442984022,rahul.kulkarni93@gmail.com,22-01-2026 07:34,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,27,16,59.25925926,7,189
Sneha Singh,7756621708,sneha.singh443@outlook.com,21-01-2026 17:08,,PENDING WITH EXECUTIVE,Prospect,,Anshad ,,,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,7,1,14.28571429,12,84
